created_at,chatbot_id,chatbot_name,conversation_id,message_id,role,content,tokens_used,num_sources,top_doc,top_similarity,estimated_cost
2026-02-01T22:10:50.764683+00:00,1,Customer Support Bot,72,184,assistant,"I'm an AI assistant and do not have access to real-time information about specific menus or offerings. To find out if a particular restaurant or food establishment has gluten-free options, I recommend checking their menu online, calling the establishment directly, or visiting their website for more information on their gluten-free offerings.",161,0,,,
2026-02-01T22:10:53.403086+00:00,1,Customer Support Bot,72,186,assistant,"I don't have real-time shipping information. Shipping times can vary depending on the courier, shipping method selected, and the point of origin of the shipment. To get an accurate estimate of shipping times to London, I recommend checking with the specific courier or online retailer you are considering using for shipping. They can provide the most up-to-date information on shipping times for your specific order.",252,0,,,
2026-02-01T22:10:54.147752+00:00,1,Customer Support Bot,72,188,assistant,The upload size limit on this platform is 5MB.,279,0,,,
2026-02-01T22:10:55.825999+00:00,1,Customer Support Bot,72,190,assistant,The capital of France is Paris.,226,0,,,
2026-02-01T22:11:07.934461+00:00,1,Customer Support Bot,73,192,assistant,I do not have access to specific menus or information about gluten-free options unless it was provided in the uploaded documents. Feel free to inquire with the restaurant or food service directly for their gluten-free options.,141,0,,,
2026-02-01T22:11:08.864880+00:00,1,Customer Support Bot,73,194,assistant,I do not have access to specific shipping information unless it was provided in the uploaded documents. It would be best to check with the shipping company or retailer directly for shipping times to London.,193,0,,,
2026-02-01T22:11:09.980639+00:00,1,Customer Support Bot,73,196,assistant,The upload size limit can vary depending on the platform or service being used. It would be best to refer to the specific guidelines or help section of the platform to determine the upload size limit.,246,0,,,
2026-02-01T22:11:11.393070+00:00,1,Customer Support Bot,73,198,assistant,The capital of France is Paris.,213,0,,,
2026-02-01T22:30:19.185410+00:00,11,On Sustainability & Supplier Assistant,74,200,assistant,The goal for 2022 is to develop a comprehensive guideline for sustainable packaging and pilot innovative sustainable packaging solutions to minimize environmental impact [Source 1].,667,5,impact-report-2022-2.pdf,0.8312959779515634,
2026-02-01T22:30:35.890636+00:00,11,On Sustainability & Supplier Assistant,74,202,assistant,The goal for the next year (2025) is to publish a Circular roadmap to scale [Source 2].,859,5,On-2024-Impact-Progress-Report.pdf,0.8266598805820062,
